title,year,citations,concepts
Supporting systems thinking in environmental science education with large language model chatbots,2026,0,"['Chatbot', 'Perspective (graphical)', 'Systems thinking', 'Science education', 'Sociocultural evolution']"
Spatiotemporal distribution and behaviour of Atlantic bluefin tuna (Thunnus thynnus) in Norwegian waters from 2019 to 2024: Insights from citizen science,2026,0,"['Citizen science', 'Norwegian', 'Fishery', 'Distribution (mathematics)', 'Tuna']"
Towards Cost-Effective and Sustainable Media Formulations for Terrestrial and Aquatic Cellular Agriculture,2026,0,"['Sustainability', 'Business', 'Production (economics)', 'Process (computing)', 'Sustainable production']"
Preliminary assessment of sensory deterrents for reducing threatened elasmobranch bycatch in northern Australian gillnet fisheries,2026,0,"['Threatened species', 'Bycatch', 'Fishery', 'Fishing', 'Geography']"
Sustainable nutrition systems with alternative proteins for low-impact food future,2026,0,"['Sustainability', 'Business', 'Food processing', 'Population', 'Food systems']"
Breaking the cold-blooded rule: Opah’s secret to whole-body endothermy,2026,0,"['Biology', 'Endotherm', 'Ecology', 'Bioenergetics', 'Ectotherm']"
"Environmental drivers of skipjack tuna, Katsuwonus pelamis (Actinopterygii, Scombriformes, Scombridae), catch variability in tropical coastal waters: Insights from physical and biogeochemical oceanography",2026,0,"['Skipjack tuna', 'Biogeochemical cycle', 'Pelagic zone', 'Environmental science', 'Oceanography']"
Life history attributes influencing metabolic variation in an estuarine fish,2026,0,"['Biology', 'Allometry', 'Life history theory', 'Estuary', 'Phenotypic plasticity']"
A climate adaptation framework for marine resource monitoring programs,2026,0,"['Environmental resource management', 'Resource (disambiguation)', 'Environmental planning', 'Adaptation (eye)', 'Environmental science']"
Bottlenose dolphin reliance on trawlers in prey-depleted Adriatic Sea regions,2026,0,"['Bottlenose dolphin', 'Fishery', 'Otter', 'Trawling', 'Geography']"
Face-to-face Nature Conservation,2026,0,"['Skepticism', 'Wildlife', 'Environmental ethics', 'Public relations', 'Set (abstract data type)']"
"Acoustic Telemetry for Marine Animal and Environmental Monitoring: Technologies, Challenges, and Emerging Trends",2026,0,"['Environmental science', 'Telemetry', 'Remote sensing', 'Biotelemetry', 'Oceanography']"
Effects of global ocean warming and heatwaves on thermal safety margins of marine predator life stages,2026,0,"['Environmental science', 'Climate change', 'Global warming', 'Sea surface temperature', 'Marine life']"
"Impact of Anthropogenic Activities on Aquatic and Terrestrial Biodiversity of Dagona Waterfowl Sanctuary in Yobe State, Nigeria",2026,0,"['Biodiversity', 'Transect', 'Geography', 'Species diversity', 'Waterfowl']"
Listening to tuna: Acoustic characterization of captive juvenile yellowfin tuna ( <i>Thunnus albacares</i> ),2026,0,"['Yellowfin tuna', 'Biology', 'Diel vertical migration', 'Pelagic zone', 'Tuna']"
Microphytoplankton communities associated with deep thermoclines in the southwestern Gulf of Mexico during a “Nortes” storm season,2026,0,"['Thermocline', 'Oceanography', 'Hydrography', 'Environmental science', 'Storm']"
"Multimodel approach for growth analysis of purple snail Plicopurpura columellaris (Lamarck, 1816) in the rocky intertidal of Guerrero, Mexico",2026,0,"['Intertidal zone', 'Akaike information criterion', 'Ecology', 'Snail', 'Biology']"
"Worldwide Illegal Gold Mining Fuelling Environmental Mercury Contamination: Recent Developments, Challenges and Remedies",2026,0,"['Mercury (programming language)', 'Gold mining', 'Mercury pollution', 'Environmental science', 'Environmental protection']"
Invasive Control of Spartina alterniflora in Coastal Wetlands: Suitability Assessment of Mangrove Planting in Quanzhou Bay Based on Macrobenthic Communities and Environmental Responses,2026,0,"['Mangrove', 'Spartina alterniflora', 'Environmental science', 'Biomass (ecology)', 'Salinity']"
"International Legal Environment Protection in the Context of Achieving Sustainable Development : electronic educational and methodological complex for specialty 7-06-0421-01 В«JurisprudenceВ» (profiling В«Legal Regulation of Security and Sustainable Development of SocietyВ») / A. A. Zhloba ; BSU, Faculty of Law, Department of Environmental and Agrarian Law. вЂ“ Minsk, 2026. вЂ“ 55 p. Bibliography: p. 49вЂ“55.",2026,0,"['Sustainable development', 'Context (archaeology)', 'Curriculum', 'Engineering ethics', 'Political science']"
Nutritional detoxification strategies in aquaculture: bioactive feed additives mitigating oxidative stress and xenobiotic toxicity in fish,2026,0,"['Detoxification (alternative medicine)', 'Xenobiotic', 'Aquaculture', 'Biology', 'Biotechnology']"
Annual Changes in the Feeding Ecology of Blackfin Flounder (Glyptocephalus stelleri) in the East Sea of Korea,2026,0,"['Predation', 'Biology', 'Fishery', 'Flounder', 'Ecology']"
Navigating the salinity gradient: Individual variation in habitat use and migration of European eel revealed by otolith microchemistry,2026,0,"['Habitat', 'Fish migration', 'Otolith', 'Fishery', 'Population']"
"Early life stage fish community structure and environmental drivers in offshore waters of Liaoning Province, Yellow Sea",2026,0,"['Ichthyoplankton', 'Habitat', 'Community structure', 'Pelagic zone', 'Fishery']"
Beyond the “Big 5”: diversifying seafood preferences in South West England,2026,0,"['Sustainability', 'Herring', 'Business', 'Consumption (sociology)', 'Tuna']"
DOM consumption and demethylation of MeHg as potential drivers of low MeHg in Mediterranean Sea sponges and benthic fish: a modeling perspective,2026,0,"['Bioaccumulation', 'Methylmercury', 'Benthic zone', 'Environmental chemistry', 'Mercury (programming language)']"
A scoping review on the impacts of wind turbine noise on wildlife,2026,0,"['Wildlife', 'Wind power', 'Environmental science', 'Turbine', 'Noise (video)']"
Why technical readiness is not enough: Institutional barriers to full harvest strategy adoption in the International Pacific Halibut Commission,2026,0,"['Halibut', 'Business', 'Commission', 'Fishery', 'Work (physics)']"
Eating fish in the age of anthropogenic climate change: imaginaries and sociogenesis of representations of changes in fish quality,2026,0,"['Climate change', 'Thematic analysis', 'Fish <Actinopterygii>', 'Fish stock', 'Psychology']"
The national marine science plan: food security for Australia,2026,1,"['Sustainability', 'Business', 'Food security', 'Transparency (behavior)', 'Environmental planning']"
Establishing an interdisciplinary basis for ecological connectivity to inform spatial stock assessment modeling: an application to a red mullet metapopulation in the Mediterranean Sea,2026,0,"['Metapopulation', 'Biological dispersal', 'Stock (firearms)', 'Stock assessment', 'Geography']"
Evidence of within- and between-stock connectivity in Mediterranean fisheries challenges the stock unit paradigm,2026,0,"['Biological dispersal', 'Metapopulation', 'Stock assessment', 'Stock (firearms)', 'Marine protected area']"
Mercury contamination and human exposure through inland fishery and aquaculture products in Northeastern Brazil,2026,0,"['Aquaculture', 'Mercury (programming language)', 'Fishery', 'Environmental science', 'Tilapia']"
3D Diel Utilization Distribution: a novel perspective to understand marine turtle-fishery interaction,2026,0,"['Bycatch', 'Diel vertical migration', 'Fishing', 'Fishery', 'Environmental science']"
A Regional Assessment of Our Ocean Conference Commitment Implementation in Africa,2026,0,"['Strategic environmental assessment', 'Investment (military)', 'Action (physics)', 'Environmental planning', 'Corporate governance']"
Combining individual and close‐kin mark–recapture to design an effective wildlife population survey,2026,0,"['Sampling (signal processing)', 'Abundance (ecology)', 'Wildlife', 'Population', 'Sampling design']"
Infectious hematopoietic necrosis virus (IHNV) in fish and its consequences for fish farming: A comprehensive review,2026,0,"['Biology', 'Infectious hematopoietic necrosis virus', 'Virology', 'Aquaculture', 'Disease']"
Defragmenting Mangrove Law Towards Coherent Global Governance,2026,0,"['Mangrove', 'United Nations Convention on the Law of the Sea', 'Convention on Biological Diversity', 'Environmental resource management', 'Corporate governance']"
Tackling Climate-Driven Diseases in Mediterranean Aquaculture,2026,0,"['Biology', 'Biosecurity', 'Aquaculture', 'Fishery', 'Biodiversity']"
"Investigating morphometry, growth patterns, and interactive behaviour of dwarf minke whales in the Great Barrier Reef: insights from diver-operated stereo-video systems",2026,0,"['Biology', 'Ecology', 'Ectotherm', 'Fishery', 'Minke whale']"
Assemblage structure of ichthyoplankton communities in the southern tyrrhenian sea (western mediterranean sea),2026,0,"['Ichthyoplankton', 'Abundance (ecology)', 'Transect', 'Mediterranean sea', 'Mediterranean climate']"
"Diet of Antarctic toothfish ( <i>Dissostichus mawsoni</i> ) from the Ross Sea continental shelf, Antarctica",2026,0,"['Continental shelf', 'Biology', 'Mesopelagic zone', 'Predation', 'Oceanography']"
Measuring the research impact of Australian East Antarctic ice core publications: a contextual analysis,2026,0,"['Ice core', 'Relevance (law)', 'Categorization', 'Core (optical fiber)', 'Regional science']"
Achieving national health targets through linked sustainable fisheries management: barriers and enablers,2026,0,"['Business', 'Sustainability', 'Incentive', 'Fishing', 'Scope (computer science)']"
MULTI-PATHWAY HUMAN EXPOSURE TO HEAVY METALS IN TWO URBAN RIVERS OF SOUTHERN NIGERIA: A DETERMINISTIC AND MONTE CARLO RISK ASSESSMENT,2026,0,"['Hazard quotient', 'Environmental science', 'Ingestion', 'Sediment', 'Risk assessment']"
Navigating the frontier of data openness: the obligation to cooperate in marine climate data governance under the AI Era,2026,0,"['United Nations Convention on the Law of the Sea', 'Corporate governance', 'Climate governance', 'Context (archaeology)', 'Political science']"
Chemical Control of Ichthyotoxic Algal Blooms in Aquaculture: Assessing Algicide Impacts on Cellular Motility and Bloom Suppression,2026,0,"['Fish kill', 'Heterosigma akashiwo', 'Motility', 'Algal bloom', 'Biology']"
Cognitive processing in a multimedia lesson: An action research study in a language classroom,2026,0,"['Cognition', 'Cognitive load', 'Psychology', 'Action (physics)', 'Multimedia']"
Assessment and Management Implications for Chub Mackerel (Scomber japonicus) in the North Pacific: Integrating Length-Based Bayesian and Catch-MSY Models,2026,0,"['Stock assessment', 'Overfishing', 'Maximum sustainable yield', 'Fishery', 'Stock (firearms)']"
Exploring the impacts of climate change on fisheries resources within the NAFO Convention Area,2026,0,"['Climate change', 'Fishery', 'Trophic level', 'Fisheries management', 'Effects of global warming']"
Editorial: The threat of invasive alien species and the challenge of climate change,2026,0,"['Climate change', 'Biodiversity', 'Ecology', 'Geography', 'Habitat']"
To Initiate or to Terminate: Effects of Endurance Status and Hydraulic Factors on Fish Upstream Attempt Behavior Under High-Flow Conditions,2026,0,"['Fish <Actinopterygii>', 'Environmental science', 'Upstream (networking)', 'Flow (mathematics)', 'Flow conditions']"
Sustainable marine ecosystem conservation in Pakistan and its alignment with Sustainable Development Goal 14,2026,0,"['Corporate governance', 'Business', 'Environmental planning', 'Sustainable development', 'Livelihood']"
Workplace competence for recreational diving instructors through situated learning environments in established communities of practice,2026,0,"['Situated', 'Situated learning', 'Competence (human resources)', 'Community of practice', 'Recreation']"
Seasonal Beach-Profile Variation and Macroalgal Subsidies Shape Wrack-associated Macrofauna on Tropical Sandy Beaches of the Southwestern Atlantic,2026,0,"['Intertidal zone', 'Benthic zone', 'Oceanography', 'Sediment', 'Biomass (ecology)']"
From blue to pink: resazurin as a high-throughput proxy for metabolic rate in oysters,2026,1,"['Resazurin', 'Biology', 'Oyster', 'Ostreidae', 'Metabolic rate']"
Invasive North American beaver alters greenhouse gas fluxes in sub-Antarctic riparian forests,2026,0,"['Environmental science', 'Beaver', 'Riparian zone', 'Greenhouse gas', 'Ecosystem']"
Fishery variability across distinct habitat groups in the Indian exclusive economic zone and its teleconnections to large-scale climate drivers,2026,0,"['Teleconnection', 'Fishery', 'Pelagic zone', 'Climate change', 'Abundance (ecology)']"
Exploring Seychelles’ blue carbon readiness through stakeholder perceptions,2026,0,"['Blue carbon', 'Business', 'Stakeholder', 'Corporate governance', 'Climate change']"
Regional Filtering and Stochastic Assembly Shape the Functional Diversity of Estuarine Fish Communities,2026,0,"['Null model', 'Species evenness', 'Species richness', 'Ecology', 'Null (SQL)']"
"Antarctic phytoplankton and krill diet, 1955–1963: observations from a poorly known era of Southern Ocean change",2026,0,"['Phytoplankton', 'Oceanography', 'Diatom', 'Antarctic krill', 'Krill']"
Hypoxia in Atlantic salmon aquaculture: Current understanding and the way forward toward mitigation and predictive management,2026,0,"['Hypoxia (environmental)', 'Current (fluid)', 'Biology', 'Risk analysis (engineering)', 'Environmental science']"
"Estuary use, physiological status and response to connectivity restoration in juvenile Chinook salmon in the Lower Fraser River and estuary",2026,0,"['Estuary', 'Chinook wind', 'Fishery', 'Juvenile', 'Habitat']"
Disentangling the structure of an Antarctic plankton food web in bloom and non-bloom conditions,2026,0,"['Trophic level', 'Plankton', 'Phytoplankton', 'Food web', 'Ecology']"
Sandy littorals under threat: a comprehensive review of the impacts of climate change on plant-dominated components relevant to the Mediterranean littoral active zone,2026,0,"['Mediterranean climate', 'Climate change', 'Littoral zone', 'Environmental science', 'Habitat']"
Does market abundance reflect sustainability? A perspective on tuna availability in Somalia under market signals uncertainty,2026,0,"['Fishing', 'Sustainability', 'Corporate governance', 'Abundance (ecology)', 'Natural resource economics']"
"Linkages among foraging movements, prey provisioning, and reproduction in a central place foraging seabird",2026,0,"['Foraging', 'Seabird', 'Animal ecology', 'Biology', 'Forage']"
Patterns and drivers of continent-wide vegetation variability in Africa: Insights from eigen microstates,2026,0,"['Vegetation (pathology)', 'Normalized Difference Vegetation Index', 'Precipitation', 'Environmental science', 'Physical geography']"
Marine fish ranges are expanding and shifting deeper across the European continental shelf,2026,0,"['Fishing', 'Continental shelf', 'Climate change', 'Biodiversity', 'Range (aeronautics)']"
Biotic Constraints and Hydroperiod Drivers of Mangrove–Saltmarsh Zonation in a Microtidal Estuary,2026,0,"['Ecotone', 'Intertidal zone', 'Salt marsh', 'Abiotic component', 'Vegetation (pathology)']"
"Indices of reduced fish biomass, changes in fish biodiversity and seafloor macrolitter – implications for fisheries management in Sri Lanka",2026,0,"['Fishery', 'Fishing', 'Catch per unit effort', 'Abundance (ecology)', 'Fisheries management']"
High vulnerability of jellyfish ephyras (Aurelia aurita) and copepods (Calanoids) to understudied organic UV filters: A multi-trophic ecotoxicological assessment,2026,0,"['Jellyfish', 'Aquatic environment', 'Biology', 'Ecology', 'Vulnerability (computing)']"
Diet selection of sympatric marine turtles reveals the importance of diverse benthic habitats,2026,0,"['Biology', 'Sympatric speciation', 'Habitat', 'Selection (genetic algorithm)', 'Benthic zone']"
Reproductive assessment of farmed and wild Atlantic bluefin tuna (Thunnus thynnus) in the eastern Adriatic Sea during the spawning season,2026,0,"['Gonadosomatic Index', 'Fecundity', 'Biology', 'Fishery', 'Mediterranean sea']"
Trophic modelling as a pathway to ecosystem-based management – the Marine Protected Area “Sylt Outer Reef - Eastern German Bight”,2026,0,"['Marine protected area', 'Trophic level', 'Reef', 'Protected area', 'Fishery']"
Scientific advances in ecology through the lens of Ecological Processes,2026,0,"['Ecology', 'Climate change', 'Relevance (law)', 'Ecological forecasting', 'Environmental resource management']"
Behavioral metabolic suppression confounds thermal performance estimates and climate vulnerability assessments in a marine ectotherm,2026,0,"['Ectotherm', 'Anemone', 'Ecology', 'Sea anemone', 'Environmental science']"
Undoing Animal Colonialism: Interspecies Entanglements and Decolonial Ecologies in Contemporary Art,2026,0,"['Indigenous', 'Liminality', 'Sociology', 'Colonialism', 'Aesthetics']"
Phenological shifts in plankton dynamics reshape pressures on anchovy recruitment in the southern coastal waters of the Korean peninsula,2026,0,"['Anchovy', 'Plankton', 'Phenology', 'Peninsula', 'Oceanography']"
"Seagrass composition shifts and declines associated with reduced light, high phosphate, and elevated water temperatures in Turneffe Atoll Marine Reserve, Belize",2026,0,"['Seagrass', 'Thalassia testudinum', 'Coral reef', 'Atoll', 'Ecology']"
Synergistic interactions between biogenic organic matter and microbial dynamics during simulated senescent cyanobacterial blooms in freshwater mesocosms,2026,0,"['Mesocosm', 'Microbial food web', 'Gammaproteobacteria', 'Organic matter', 'Ecology']"
Effects of low-salinity stress on locomotor activity and feeding behavior in the Chinese shrimp (Fenneropenaeus chinensis),2026,0,"['Shrimp', 'Biology', 'Locomotor activity', 'Feeding behavior', 'Fight-or-flight response']"
A source-state-space (S3) framework for quantifying environmental DNA fate: bridging mechanism to predictive monitoring,2026,0,"['Bridging (networking)', 'Mechanism (biology)', 'Computer science', 'Computational biology', 'DNA']"
Reimagining ownership and governance for carbon dioxide removal (CDR): exploring existing alternative models to advance equity and justice,2026,0,"['Corporate governance', 'Software deployment', 'Equity (law)', 'Business', 'Indigenous']"
The evolution of West African Atlantic mangroves from the Late Cretaceous to the present: an evidence-based synthesis of the paleobotanical record,2026,0,"['Mangrove', 'Rhizophora', 'Cretaceous', 'Paleontology', 'Avicennia']"
Unveiling the subchronic effects of PFAS mixtures in blue mussels (Mytilus spp.): An integrative assessment from molecular to physiological levels,2026,0,"['Mytilus', 'Environmental chemistry', 'Lipidome', 'Biology', 'Nonylphenol']"
Analysis of the cause of shifts in algal taxa and abundance over 50 years in an oligotrophic lake in central NY,2026,0,"['Ecology', 'Abundance (ecology)', 'Algae', 'Taxon', 'Population']"
Stress Physiology and Aquaculture Adaptation of Eleutheronema tetradactylum: A Review,2026,0,"['Biology', 'Osmoregulation', 'Aquaculture', 'Adaptation (eye)', 'Salinity']"
"Projecting seasonal and future thermal suitability of the invasive and commercially valuable Manila clam Ruditapes philippinarum (A. Adams and Reeve, 1850) in a warming Mediterranean Sea",2026,0,"['Ruditapes', 'Environmental science', 'Mediterranean climate', 'Habitat', 'Mediterranean sea']"
Owl habitat suitability in burned forests,2026,0,"['Habitat', 'Salvage logging', 'Ecology', 'Geography', 'Vegetation (pathology)']"
Supply chain resilience in UK seafood processing: lessons from COVID-19,2026,0,"['Business', 'Supply chain', 'Resilience (materials science)', 'Environmental planning', 'Environmental resource management']"
Environmental drivers of spawning and recruitment of anchovy in the Bay of Biscay,2026,0,"['Anchovy', 'Bay', 'Engraulis', 'Fishery', 'Habitat']"
With both pen and sword: a biography of Sir Henry (Harry) Gullett (1878-1940),2026,0,"['Biography', 'Empire', 'World War II', 'SWORD', 'History']"
Improved estimation of dissolved oxygen levels in commercial aquaculture using the ensemble Kalman filter,2026,0,"['Kalman filter', 'Ensemble Kalman filter', 'Estimation', 'Environmental science', 'Moving horizon estimation']"
Hatch timing and growth of juvenile polar cod (Boreogadus saida) in a warming Arctic: insights into overwinter survival potential,2026,0,"['Biology', 'Juvenile', 'Phenology', 'Arctic', 'Ecology']"
Epigenetic Signatures of Climate Stress in Wild Fish Populations: Implications for Fisheries Resilience,2026,0,"['Biology', 'Epigenetics', 'Epigenomics', 'Stickleback', 'Phenotypic plasticity']"
Spatial and temporal use of New Jersey estuaries by sandbar sharks (Carcharhinus plumbeus),2026,0,"['Estuary', 'Fishery', 'Threatened species', 'Shoal', 'Bay']"
CMIP7 data request: ocean and sea ice priorities and opportunities,2026,4,"['Coupled model intercomparison project', 'Sea ice', 'Earth system science', 'Cryosphere', 'Climatology']"
Risks of mercury release from disturbance of blue carbon ecosystems,2026,0,"['Environmental science', 'Mercury (programming language)', 'Disturbance (geology)', 'Ecosystem', 'Environmental chemistry']"
Biological reference points for data-limited artisanal fisheries: A CMSY application to black skipjack (Euthynnus lineatus) in the Mexican Tropical Pacific,2026,0,"['Maximum sustainable yield', 'Overfishing', 'Fishing', 'Sustainable yield', 'Geography']"
"""TAC-ING"" on Coherence: Achieving Sustainable Baltic Sea Fisheries Management by Hooking Precautionary Science and Greater Transparency in EU Total Catch Negotiations",2026,0,"['Overfishing', 'Fishing', 'Negotiation', 'Fishery', 'Precautionary principle']"
Queensland Coral Fishery Ecological Risk Assessment,2026,0,"['Coral', 'Fishery', 'Fishing', 'Coral reef', 'Ecosystem']"
Estimating West Greenland caribou abundance using Density Surface Models,2026,0,"['Abundance (ecology)', 'Distance sampling', 'Aerial survey', 'Geography', 'Physical geography']"
Trends in fishing opportunities in European fisheries following the last Common Fishery Policy reform,2026,0,"['Fishing', 'Maximum sustainable yield', 'Stock (firearms)', 'Fishery', 'Fisheries management']"
"Data, analyses, and models to support the implementation of ecosystem-based fisheries management in the North Sea",2026,0,"['Fishing', 'Fisheries management', 'Demersal zone', 'Fishery', 'Environmental resource management']"
Principles of Local Development and the European Leader Programme Applied to Fishing Areas: What are the Specific Features? Comparative Approach of Two Lags in France,2026,0,"['Fishing', 'Context (archaeology)', 'Regional science', 'Legitimacy', 'Citizen journalism']"
UK trade agreements and the double bind of devolved regulatory autonomy: the interplay of external commitments and domestic constraints,2026,0,"['Scope (computer science)', 'Legislation', 'International trade', 'Business', 'Outcome (game theory)']"
How to ensure sustainable fisheries while renewing the EU fishing fleet for modernization and energy transition?,2026,0,"['Fishing', 'Sustainability', 'Overexploitation', 'Business', 'Profitability index']"
From Enforcement to Resilience: Evaluating Indonesia's One Roof Enforcement System to Combat Illegal Fishing in the North Natuna Sea,2026,0,"['Enforcement', 'Resilience (materials science)', 'Corporate governance', 'Business', 'Fishing']"
At-sea transshipment of fishery catches: a systematic literature review,2026,0,"['Transshipment (information security)', 'Fishing', 'Fishery', 'Business', 'Channel (broadcasting)']"
Prediction of High-Abundance Fishing Grounds for Chub Mackerel (Scomber japonicus) in the Northwest Pacific Ocean and Its Environmental Drivers Based on Interpretable Machine Learning Model,2026,0,"['Fishing', 'Machine learning', 'Gradient boosting', 'Interpretability', 'Fishery']"
International governance of regional fisheries management organization: A comprehensive review,2026,0,"['Fisheries management', 'Jurisdiction', 'Fisheries law', 'Business', 'Sustainability']"
Optimizing sustainable fishery resource allocation in China: an improved adaptive NSGA-III approach under multi-dimensional rigid constraints,2026,0,"['Computer science', 'Mathematical optimization', 'Resource allocation', 'Convergence (economics)', 'Benchmark (surveying)']"
A garden of forking paths: an ecosystem-based fisheries management case study of Florida red tides,2026,0,"['Fishery', 'Fisheries management', 'Stock assessment', 'Fishing', 'Fisheries science']"
ADAPTING FISHERIES MANAGEMENT TO THE FUTURE: QUANTIFYING SPATIOTEMPORAL RESPONSES OF FORAGE FISHES TO CLIMATE CHANGE,2026,0,"['Climate change', 'Forage', 'Fishery', 'Environmental science', 'Fisheries management']"
Trends in Lusitanian and boreal marine fish assemblages in the Celtic Seas ecoregion in the context of fisheries management and environmental change,2026,0,"['Ecoregion', 'Boreal', 'Context (archaeology)', 'Anchovy', 'Fishery']"
Leveraging artificial intelligence (AI) techniques for sustainable marine resources,2026,1,"['Environmental resource management', 'Transformative learning', 'Corporate governance', 'Work (physics)', 'Resource (disambiguation)']"
"INTEGRATIVE MORPHOLOGICAL AND DNA BARCODING CONFIRMATION OF THE DATA-DEFICIENT INDIAN HALIBUT IN CILACAP WATERS, INDONESIA",2026,0,"['DNA barcoding', 'Biology', 'Cytochrome c oxidase subunit I', 'Meristics', 'Biodiversity']"
"Mixed-methods dataset on ecological, management, and socio-economic dimensions of Baltic Sea commercial fisheries",2026,0,"['Stock assessment', 'Stock (firearms)', 'Fishing', 'Fisheries management', 'Baltic sea']"
Species-Specific Evidence of Structural Change in Portuguese Fisheries: A 30-Year Analysis of CFP Reform Influence,2026,0,"['Portuguese', 'Political science', 'Humanities', 'Economic growth', 'Development economics']"
&lt;b&gt;Review Journal: Sustainable Fishery Supply Chain in Indonesia&lt;/b&gt;,2026,0,"['Business', 'Sustainability', 'Supply chain', 'Fishery', 'Environmental resource management']"
Blockchain and Protection Community Interests in the Law of the Sea,2026,0,"['Law', 'Political science', 'Business', 'Government (linguistics)', 'Law and economics']"
From commons to commoning as resistance efforts to blue injustice: A sociohistorical and ethnographical approach,2026,2,"['Commons', 'Environmental ethics', 'Sociology', 'Collective action', 'Resistance (ecology)']"
Addressing scientific uncertainty in marine crustacean fisheries stock assessment and management,2026,0,"['Stock assessment', 'Fishing', 'Stock (firearms)', 'Fishery', 'Fisheries management']"
Fishery management for food and nutrition security in Peru under a changing climate,2026,1,"['Anchovy', 'Fishery', 'Food security', 'Productivity', 'Business']"
Evaluating economic contribution of seafood industries in Busan using hypothetical extraction method,2026,0,"['Real estate', 'Business', 'Production (economics)', 'Natural resource economics', 'Estate']"
Quantifying Atlantic halibut (Hippoglossus hippoglossus) migratory diversity and stock mixing across the Northwest Atlantic and implications for fisheries management,2026,0,"['Geography', 'Fishery', 'Stock assessment', 'Halibut', 'Stock (firearms)']"
Revisiting rebuilding options of European fisheries,2026,1,"['Fishing', 'Sustainability', 'Profitability index', 'Overfishing', 'Stock (firearms)']"
Policy Priorities Linking Seafood Supply Chain Stability and Seafood Food Security for Sustainable Food Systems: An IPA Case Study of Busan,2026,1,"['Food security', 'Business', 'Supply chain', 'Food safety', 'Port (circuit theory)']"
Uncovering changes in the Ormer (Haliotis tuberculata) population in northeastern Brittany (France) using participatory science,2026,0,"['Overfishing', 'Geography', 'Climate change', 'Population', 'Population growth']"
Coastal Ecology and Fisheries Management,2026,0,"['Fishery', 'Environmental resource management', 'Fisheries management', 'Ecology', 'Geography']"
Reproductive ecology as a tool for identifying stock components: the case of the blue whiting (Micromesistius poutassou) in the Northeast Atlantic,2026,0,"['Fecundity', 'Stock assessment', 'Peninsula', 'Stock (firearms)', 'Whiting']"
,2026,0,[]
From Abundance to Absence: The Economic Cost of Overfishing the Eastern Baltic Cod Stock. A surplus production model analysis for the eastern Baltic cod stock with a Swedish focus,2026,0,"['Stock (firearms)', 'Fishing', 'Overfishing', 'Cod fisheries', 'Fishery']"
Impact du changement climatique sur les ressources halieutiques. Réponse à une demande d’expertise,2026,0,"['Fisheries management', 'Productivity', 'Climate change', 'Distribution (mathematics)', 'Fishery']"
Russia—Vietnam Relations in 2025: the State and Prospects. Joint Report,2026,0,"['Joint (building)', 'State (computer science)', 'Key (lock)', 'Range (aeronautics)', 'Computer science']"
Bilan 2025 du statut des ressources halieutiques débarquées par la pêche française en 2024 – Hexagone et Outre-mer,2026,0,"['Population', 'Humanities', 'Political science', 'Geography', 'Forestry']"
Fish Diplomacy and Soft Power: Russia's <i>Great African Expedition</i> in Context,2026,0,"['Diplomacy', 'Geopolitics', 'Scrutiny', 'Context (archaeology)', 'Soft power']"
Capelin in the Estuary and Gulf of St. Lawrence (NAFO Divisions 4RST) in 2022 and 2023,2026,0,"['Capelin', 'Fishing', 'Estuary', 'Fishery', 'Environmental science']"
Le capelan dans l'estuaire et le golfe du Saint-Laurent (OPANO 4RST) en 2022 et 2023,2026,0,"['Forestry', 'Humanities', 'Capelin', 'Pilotage', 'Political science']"
Netting the truth: Europe’s fish imports from Türkiye and their impact on the Turkish marine fish biodiversity,2025,0,"['Overfishing', 'Overexploitation', 'Fishing', 'Fishery', 'Netting']"
Two Reorganizations in Japanese Fishery Areas: Fisheries Cooperative Associations and Region Management Organizations,2025,0,"['Livelihood', 'Consolidation (business)', 'Geography', 'Fisheries management', 'Fishery']"
Advancing High‐Seas Fisheries Governance: Bayesian Models for Enhancing Compliance and Sustainability Under the <scp>BBNJ</scp> Agreement,2025,1,"['Enforcement', 'Corporate governance', 'Jurisdiction', 'Sustainability', 'Business']"
